model,train_time_seconds,validation_accuracy,validation_f1_weighted,validation_roc_auc_ovr_weighted,test_accuracy,test_f1_weighted,test_roc_auc_ovr_weighted,validation_inference_time_seconds,test_inference_time_seconds
logistic_regression,11.5364,0.847,0.8458,0.9839,0.8247,0.8235,0.9803,0.0206,0.0081
random_forest,4.1513,0.8678,0.8665,0.9892,0.858,0.8558,0.9868,0.1119,0.079
