epoch,train_loss,train_accuracy,train_f1_weighted,validation_loss,validation_accuracy,validation_f1_weighted,learning_rate
1,0.5492,0.8141,0.8115,0.6044,0.792,0.789,0.00090451
2,0.3316,0.8819,0.8814,0.4433,0.8388,0.8453,0.00065451
3,0.2704,0.9038,0.9035,0.3945,0.8655,0.8593,0.00034549
4,0.2247,0.9206,0.9205,0.2449,0.9103,0.9108,9.549e-05
5,0.1908,0.9324,0.9322,0.2098,0.9242,0.9245,0.0
